sentence_a,sentence_b,answer
A toddler in a beige suit is smiling whilst playing in the snow.,A baby girl in a brown snowsuit plays in the snow.,3
it was all the more startling because it was not perceived by people who'd always lived here.,"and they are the problem, simply because they cause a demand on other people's resources.",0
"and when that happens, it hurts the feelings of our troops.",returned with great quality and a great representation of our firm.,0
i'm pretty sure tim bale is a true blue tory!,i'm here to defend the fluevog!!,0
don't ask for help from internet forums on such important issues.,and the idea was to help people connect with volunteer opportunities.,0
"Quotes from leaders, family at Mandela memorial",Obama shakes hands with Cuba's Castro at Mandela memorial,1
Police helicopter crashes into pub in Glasgow - several casualties,Helicopter crashes into roof of Glasgow club,3
Egypt poll: 98 per cent vote 'yes' for new constitution,Egypt holding key vote on constitution,1
"Iran, six global powers sign landmark nuclear deal","Iran, world powers agree nuclear deal",4
i don't ever try to pass anything off as being other than it is.,"i don't need to create problems for myself, with customers feeling they were mislead.",0
why is no one sanctioning the us??,this is an area not tested in the courts.,0
"that said, i would caution against the attempted use of proof by anecdote here to prove the effectiveness and validity of the concealed carry laws.","time and again we see that there is one set of laws for the well connected, and a vastly different set for the commoners.",0
"that is exactly what happened: no, it isn't, unless you believe that the instant vaporization of hundreds of thousands of people can be written off because of their nationality.",but its a different matter all together to say that these people are not afforded the right to even live in the uk - the country of their nationality.,0
You might try Carnap's famous (but often neglected) Der logische Aufbau der Welt (The Logical Structure of the World).,One fixed static universal language would probably run into issues illustrated by Berry paradox and similar paradoxes.,0
Expanding upon Joseph's comment: Special relativity rules out the possibility of absolute simultaneity.,For simultaneous events in different spatial locations see other replies.,0
His theorem applies to the way the mind works as well.,There is no reason that Human can't create machines as powerful as themselves.,0
Zizek actually has touched this subject a couple of times.,"I'd suggest that post-cold war Communism and Marxism no longer poses a threat, the Big Other is now Political Islam and/or terrorism.",0
hardly fills me with confidence that they should be allowed to have nuclear weapons.,he also advised that as there had been evidence they should have logged it as a crime.,0
so nursing care isn't wonderful.,"it was our day, how we wanted and it was wonderful.",0
we called the campgrounds and the owners said they had cleaned our campsite and did not find anything.,he and the democrats got damn near everything they wanted and they still reneged on it before the ink was dry.,0
perhaps its time for budget and personel cuts in the justice dept if all you have to do is bust for weed.,"it wasn't fun really, but if you need to be induced then you have to do what you need to do.",0
Time is a physical factor and the term used to capture this concept is the word 'TIME'.,So in the Sanskrit language the time is synonym of death.,0
"It seems that you are really asking what we mean by ""rational"".",Rational explanations follow from a specific set of axioms plus rules to go from step to step.,1
"will be supertrue (superfalse) iff under all (no) acceptable precisifications of the predicate ""bald"", the sentence comes out true.","Principle of Non-Contradiction:  ""A proposition p and its negation ~p cannot be true together.",0
"In Solipsism everyone else is a ""philosophical zombie""; and all the time.","The Gödel–Cohen result establishes the independence of CH from ZF (with or without AC), not from any set theory whatsoever.",0
Neymar sends Brazil into Confed Cup semis,Neymar powers Brazil into World Cup last 16,2
Colorado Governor Visits School Shooting Victim,Colorado governor visits school shooting victim,5
WTO reaches first trade reform deal,WTO achieves historic trade deal in Bali,1
Car bomb kills 20 in northwest Syria,Car bomb kills 40 in northwest Pakistan,0
they did for my parents when one passed a number of years before the other.,they are the voice and interpreters of this tort and did their duty.,0
well said but i trust the jury verdict.,"they didn't get it, but they asked for it.",0
mostly poor you though!!!,glad your pie rocked though!!,0
"firstly, there's no need to panic or rush.",christy is a fat sack of shit.,0
'Western' forces attack Islamic militant base in Somalia,Western powers scramble to befriend Modi,0
